opportunity_id,nfl_id,role_proxy,in_study,distance_closed,player_name,exp_gbm,roe_gbm,exp_spline_ridge,roe_spline_ridge
2023090700_361_46137,46137,SPLIT_DEEP,False,5.272205474974143,Justin Reid,4.352832368133248,0.9193731068408955,2.868515158004845,2.403690316969298
2023090700_461_46137,46137,SPLIT_DEEP,False,-1.1265458518534452,Justin Reid,0.2038874800885042,-1.3304333319419495,0.21003012646250063,-1.3365759783159459
2023090700_461_54527,54527,SPLIT_DEEP,False,2.40688240483766,Bryan Cook,1.7947346703392937,0.6121477344983661,2.0585608309016186,0.34832157393604124
2023090700_736_47888,47888,SINGLE_HIGH,False,5.012003504971618,C.J. Gardner-Johnson,5.189549814972168,-0.1775463100005501,4.404096278633105,0.6079072263385132
2023090700_1154_54527,54527,SINGLE_HIGH,False,-2.770889415361525,Bryan Cook,1.2689004164081108,-4.039789831769636,2.6857267614019165,-5.456616176763442
2023090700_1422_47888,47888,SINGLE_HIGH,False,10.88403528542804,C.J. Gardner-Johnson,10.42386142074347,0.46017386468456856,9.887251447025244,0.9967838384027949
2023090700_1494_46137,46137,SPLIT_DEEP,False,-2.8912919740174363,Justin Reid,1.4675130385972115,-4.358805012614647,1.8875538249090322,-4.7788457989264685
2023090700_1494_54527,54527,SPLIT_DEEP,False,-7.8853129418961405,Bryan Cook,-1.4859459982086023,-6.3993669436875384,0.6221937780755074,-8.507506719971648
2023090700_1588_47888,47888,SINGLE_HIGH,False,16.074137026577745,C.J. Gardner-Johnson,11.784178495353707,4.289958531224038,12.17660247071965,3.897534555858094
2023090700_1679_47888,47888,SPLIT_DEEP,False,7.996483768312311,C.J. Gardner-Johnson,7.485508190067651,0.5109755782446603,6.348048897676311,1.6484348706359997
2023090700_1711_47888,47888,SPLIT_DEEP,False,6.775710298075657,C.J. Gardner-Johnson,8.283215720277473,-1.5075054222018167,6.689002289037235,0.08670800903842135
2023090700_1869_54527,54527,SPLIT_DEEP,False,1.8769286395544444,Bryan Cook,1.706624406491133,0.17030423306331155,1.4358522422579743,0.4410763972964702
2023090700_1940_54527,54527,SPLIT_DEEP,False,2.5256155329112264,Bryan Cook,3.053301347561715,-0.5276858146504884,4.335348036503323,-1.8097325035920964
2023090700_2118_47888,47888,SPLIT_DEEP,False,1.2600604114645255,C.J. Gardner-Johnson,1.4826471154588456,-0.22258670399432012,1.215076479694872,0.04498393176965343
