nfl_id,player_name,n_opps,roe,ci_lo,ci_hi,se
54502,Jalen Pitre,78,1.709224291205375,0.798601771104537,2.6266498434811667,0.46543387437110517
54808,Reed Blankenship,91,1.5011694656310082,0.6804924877240766,2.2177135472759217,0.3887367776473626
52453,Antoine Winfield Jr.,85,1.1174066877573792,0.33301572852505906,1.8774167416437035,0.40118208330008703
44925,Eddie Jackson,57,0.946509052482898,-0.009734931806846944,1.8518390523878336,0.47784683232560543
47891,Julian Love,51,0.7981837366391972,-0.20810791502275297,1.750334941029461,0.49758599810163034
52444,Xavier McKinney,50,0.6542457892389032,-0.5269100263292716,1.7823136592493396,0.6059122162200113
46123,Jessie Bates,94,0.6201693273174649,-0.08097730264020031,1.2885254338476393,0.3532403780675018
54578,Percy Butler,61,0.48324480836145456,-0.7344050117427025,1.7569886590030814,0.6346948665562933
53494,Andre Cisco,72,0.3839823798068876,-0.7915906502691631,1.4125281685983604,0.5429023934591385
52627,Geno Stone,94,0.33706620796894005,-0.4135478543484262,1.1162216987183664,0.40028759949337916
46259,DeShon Elliott,61,0.3150015536515708,-0.5241764865594978,1.2147063944631036,0.4468279826052482
44926,Rayshawn Jenkins,50,0.17760470626588598,-0.9773406944433712,1.2729208951401134,0.5657651087959238
38868,Tashaun Gipson,59,0.10059224139393876,-0.9861632723084961,1.12775510256443,0.5428644867558771
53554,Camryn Bynum,76,0.03923336077192485,-0.7935082214702827,0.8124223493931437,0.3973988862864629
54513,Jaquan Brisker,51,0.03644437129496344,-0.8990076234826798,0.9138232201024019,0.4663771871103189
40107,Micah Hyde,50,-0.06908885205568895,-1.1519293024567154,0.9976483658123853,0.5434414409476409
52594,Alohi Gilman,71,-0.08361833135231354,-1.241339313956382,0.983635322444349,0.5744287013968425
52607,Jordan Fuller,105,-0.2644257748705826,-1.167339315975079,0.5810587914050455,0.44832806182830537
44962,Damontae Kazee,71,-0.31760465943188054,-1.0700666408794766,0.44553106605367876,0.388826400741459
53604,Jason Pinnock,59,-0.3801163839363279,-1.5253887095811327,0.7372203582838109,0.5659944535928468
53472,Tre'von Moehrig,67,-0.39013469380668536,-1.377995041206664,0.5583610851316211,0.48461098453830903
54562,Kerby Joseph,53,-0.4431422850841502,-1.859224087465123,0.8752508780025365,0.6966719720382927
44827,Malik Hooker,61,-0.49417381006388567,-1.5599655922417988,0.5553640938007348,0.5467348806987478
54718,Russ Yeast,58,-0.5154692741509196,-1.7400401343427012,0.6509719126744768,0.6205210925454562
54704,Rodney Thomas,68,-0.6647331238600708,-1.7816241957986394,0.35920815246454535,0.553993970267571
43387,Justin Simmons,76,-0.8756184964482683,-1.7687711954284981,0.04388858061863158,0.4639927449993076
47974,Marcus Epps,70,-1.1047060807816154,-2.3616776771288484,0.031366082586681,0.6258493784928002
46086,Derwin James,50,-1.1251315252395937,-2.573483050619912,0.16129338382573727,0.702502703623075
42543,Quandre Diggs,95,-1.2709337897396729,-2.0697470862662724,-0.4865730345534849,0.40578778434275176
40017,Tyrann Mathieu,68,-1.3879439926468495,-2.390987135958849,-0.43474922292063123,0.4966926183437791
