opportunity_id,nfl_id,player_name,role_proxy,in_study,flight_time_s,dist_to_land_release,radial_vel_to_ball,speed_release,accel_release,facing_error_deg,depth_at_release,lateral_from_mid,dist_to_land_arrival,distance_closed,closing_rate,path_length,path_efficiency,net_disp
2023090700_361_46137,46137,Justin Reid,SPLIT_DEEP,False,1.6,9.871433239796763,-0.18333740594639705,0.93,2.45,20.35958804439298,11.39,8.469999999999999,4.59922776482262,5.272205474974143,3.2951284218588395,6.177671411093477,0.9699938695505455,5.99230339685834
2023090700_461_46137,46137,Justin Reid,SPLIT_DEEP,False,1.0,3.184022696850296,-3.966585355546554,4.04,2.04,40.539517419670005,10.810000000000002,5.359999999999999,4.310568548703741,-1.1265458518534452,-1.1265458518534452,2.5525555125857946,0.7176133056470849,1.8317477992343814
2023090700_461_54527,54527,Bryan Cook,SPLIT_DEEP,False,1.0,11.363472328003596,2.85517446043385,5.2,0.98,5.953372357843421,14.68,7.219999999999999,8.956589923165936,2.40688240483766,2.40688240483766,4.810126855726745,0.9972361295154918,4.796832288083461
2023090700_736_47888,47888,C.J. Gardner-Johnson,SINGLE_HIGH,False,1.5,15.946944359038259,2.5142853228928486,5.73,2.45,2.2969110680890026,10.790000000000006,4.18,10.93494085406664,5.012003504971618,3.341335669981079,10.224261374088652,0.9825901003750335,10.046258009826346
2023090700_1154_54527,54527,Bryan Cook,SINGLE_HIGH,False,1.2,11.576600765462171,-2.8040252334032285,5.41,1.84,0.3185631282868826,13.72,2.360000000000003,14.347490180823696,-2.770889415361525,-2.309074512801271,6.432563658055661,0.9829067470716266,6.3226102204706525
2023090700_1422_47888,47888,C.J. Gardner-Johnson,SINGLE_HIGH,False,2.2,13.112780194309977,0.6426243822383296,2.13,1.66,77.84983313757161,17.0,3.120000000000001,2.228744908881937,10.88403528542804,4.947288766103654,11.75985242516478,0.9787833301390015,11.510347518645997
2023090700_1494_46137,46137,Justin Reid,SPLIT_DEEP,False,1.2,10.947117316610814,-2.0289344636767854,3.08,4.88,31.115773917470165,13.659999999999997,6.550000000000004,13.83840929062825,-2.8912919740174363,-2.4094099783478637,2.952088943930186,0.9456942804964683,2.7917736297916362
2023090700_1494_54527,54527,Bryan Cook,SPLIT_DEEP,False,1.2,2.3053189951840682,-5.998335247520501,6.15,3.2,87.62915476322593,11.619999999999996,8.459999999999997,10.190631937080209,-7.8853129418961405,-6.571094118246784,7.860420549148127,0.9837098988922831,7.732373503653329
2023090700_1588_47888,47888,C.J. Gardner-Johnson,SINGLE_HIGH,False,2.3,20.457344271223246,5.430177830473647,5.47,1.19,57.29216413429026,11.53,7.719999999999999,4.383207244645503,16.074137026577745,6.988755228946846,17.53386114044661,0.9989024443948756,17.514616752872442
2023090700_1679_47888,47888,C.J. Gardner-Johnson,SPLIT_DEEP,False,1.8,15.758862586634137,3.4618598557851263,3.63,0.87,161.62696275359284,10.560000000000002,1.610000000000003,7.762378818321826,7.996483768312311,4.442490982395729,7.779181671282961,0.9828653072679845,7.645887783639001
2023090700_1711_47888,47888,C.J. Gardner-Johnson,SPLIT_DEEP,False,1.9,14.260227896860906,1.706875668074635,4.68,1.02,35.120168862928836,13.189999999999998,6.8700000000000045,7.484517598785249,6.775710298075657,3.5661633147766616,12.092101875465659,0.9461403928743635,11.440826019129906
2023090700_1869_54527,54527,Bryan Cook,SPLIT_DEEP,False,0.7,8.280004818035078,1.3047960219232628,1.88,4.09,27.579198305838077,11.049999999999995,4.330000000000002,6.403076178480633,1.8769286395544444,2.681326627934921,1.8622797810332214,0.9773115140144787,1.8200274723201295
