nfl_id,n_opps,roe,roe_spline,player_name
54502,78,1.709224291205375,1.7121388163556752,Jalen Pitre
54808,91,1.5011694656310086,1.7110683087660634,Reed Blankenship
52453,85,1.117406687757379,1.1708002281283159,Antoine Winfield Jr.
44925,57,0.946509052482898,1.2352318001857325,Eddie Jackson
47891,51,0.798183736639197,1.0565639384681875,Julian Love
52444,50,0.6542457892389032,0.9612844608195428,Xavier McKinney
46123,94,0.6201693273174649,0.8682794623767259,Jessie Bates
54578,61,0.48324480836145434,0.2734683896748834,Percy Butler
53494,72,0.38398237980688765,0.2745828041555011,Andre Cisco
52627,94,0.33706620796894005,0.22493785042995512,Geno Stone
46259,61,0.31500155365157073,0.37882218292004355,DeShon Elliott
44926,50,0.17760470626588615,0.07921966305456442,Rayshawn Jenkins
38868,59,0.10059224139393863,0.2839782172374478,Tashaun Gipson
53554,76,0.03923336077192488,0.006891996573226396,Camryn Bynum
54513,51,0.036444371294963425,0.06489072787598223,Jaquan Brisker
40107,50,-0.06908885205568896,-0.22645737055468695,Micah Hyde
52594,71,-0.08361833135231347,0.21627284586345927,Alohi Gilman
52607,105,-0.2644257748705825,-0.24456870398628414,Jordan Fuller
44962,71,-0.3176046594318806,-0.3903238334240798,Damontae Kazee
53604,59,-0.3801163839363279,-0.40210131422540285,Jason Pinnock
53472,67,-0.3901346938066854,-0.3237591552450017,Tre'von Moehrig
54562,53,-0.44314228508415004,-0.42806553396052144,Kerby Joseph
44827,61,-0.49417381006388567,-0.7454926055064073,Malik Hooker
54718,58,-0.5154692741509195,-0.4438743156411744,Russ Yeast
54704,68,-0.6647331238600708,-0.7708877114420806,Rodney Thomas
43387,76,-0.8756184964482682,-0.7769335011557453,Justin Simmons
47974,70,-1.1047060807816154,-1.0541358591921381,Marcus Epps
46086,50,-1.1251315252395941,-0.9207865736748425,Derwin James
42543,95,-1.2709337897396729,-1.2589386461379226,Quandre Diggs
40017,68,-1.3879439926468498,-1.1209496241193657,Tyrann Mathieu
